2021 super output area - lower layer,Total: All usual residents,,Very good health,,Good health,,Fair health,,Bad health,,Very bad health,
,number,%,number,%,number,%,number,%,number,%,number,%
E01011311 : Leeds 022A,"1,269",100,779,61.4,346,27.3,112,8.8,29,2.3,3,0.2
E01011649 : Leeds 022B,"1,581",100,914,57.8,472,29.9,161,10.2,24,1.5,10,0.6
E01011715 : Leeds 022C,"1,351",100,691,51.1,459,34,159,11.8,40,3,2,0.1
E01011719 : Leeds 022D,"1,429",100,659,46.1,473,33.1,201,14.1,70,4.9,26,1.8
E01011509 : Leeds 023A,"1,434",100,725,50.6,445,31,186,13,58,4,20,1.4
E01011511 : Leeds 023B,"1,412",100,700,49.6,464,32.9,190,13.5,42,3,16,1.1
E01011512 : Leeds 023C,"1,722",100,943,54.8,526,30.5,185,10.7,41,2.4,27,1.6
E01011515 : Leeds 023D,"1,495",100,841,56.3,485,32.4,126,8.4,38,2.5,5,0.3
E01011516 : Leeds 023E,"1,744",100,916,52.5,629,36.1,162,9.3,31,1.8,6,0.3
E01011508 : Leeds 024A,"1,433",100,828,57.8,435,30.4,133,9.3,29,2,8,0.6
E01011517 : Leeds 024B,"1,714",100,875,51.1,537,31.3,215,12.5,60,3.5,27,1.6
E01011652 : Leeds 024C,"1,396",100,746,53.4,459,32.9,142,10.2,38,2.7,11,0.8
